Timestamp,Your Name (English or Mandarin OK),"Paper Citation (citation format, as sent to you)",PMID (if applicable),"Is this an original study of heart failure, and not a review paper, clinical device study, or protocol paper?
",Is this a study of human adults? ,"How is heart failure defined in the study? 

Possible answers include medical chart review, EKG, NYHA I-III, or did not specify. ",Country of Study Population ,"Does this study include an untargeted metabolomics measure? For example, LCMS, GCMS, NMR.

If no, select ""No"" then skip the rest of this form, and click submit. ",What type of metabolomics is included in this study,What type of sample is used for metabolomics in this study?,"Does this study measure, or sequence, the microbiome?","If it did measure the microbiome, please briefly provide the body site samples and sequencing method (eg, 16S stool)","Is the metabolomics data from this study publicly available? 

In the data availability statement, it should say if the data was uploaded to a general repository or national library. If it says ""data available upon request"", select no. ","Please copy and paste the data availability statement from the paper here. (Response might be ""No statement"")
","Representativeness of the exposed cohort
Does the study cohort represent heart failure patients in the real world? In other words, was sampling unbiased?
Select 0 or 1:
","Selection of the non-exposed cohort
Basically, are the controls recruited via the same method as those who had heart failure?
Select 0 or 1:
","Ascertainment of exposure
Enter 0 or 1:
Is there an unbiased/biological measure of the exposure? For us, exposure is heart failure status. ","Ascertainment of exposure done prospectively or retrospectively
Enter 0 or 1:
Are patients recruited retrospectively (after heart failure) or prospectively (before heart failure)?","Adjustment for confounding (rendering comparability of cohorts on the basis of the design or analysis)
Add points: Minimum 0, Maximum 2
Does the study mention that smoking, diabetes, or other confounding variables are the same across groups? Or do they use age- and smoking-matched controls? ","Assessment of outcome
Our outcome here is the details of the metabolomics.
Enter 0 or 1:",Do you have other comments or things you want me to know on this paper? ,"What is the number of participants in each condition in this study?

Only need to answer if this is a heart failure study in human adults with metabolomics measures. 

For examine,  HF n = 25; healthy control n = 22"
4/16/2024 16:46:04,EW,PLoS One. 2016 May 18;11(5):e0155831. doi: 10.1371/journal.pone.0155831. eCollection 2016.,27192220,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/24/2024 17:19:55,Leise,PLoS One. 2016 May 18;11(5):e0155831. doi: 10.1371/journal.pone.0155831. eCollection 2016.,27192220,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:40:01,EW,Sci Rep. 2016 Jun 29;6:28853. doi: 10.1038/srep28853.,27352838,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/24/2024 17:04:11,Leise,Sci Rep. 2016 Jun 29;6:28853. doi: 10.1038/srep28853.,27352838,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:36:08,EW,Proc Natl Acad Sci U S A. 2016 Aug 23;113(34):9539-44. doi: 10.1073/pnas.1600702113. Epub 2016 Aug 8.,27503891,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/24/2024 16:39:22,Leise,Proc Natl Acad Sci U S A. 2016 Aug 23;113(34):9539-44. doi: 10.1073/pnas.1600702113. Epub 2016 Aug 8.,27503891,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:34:57,EW,Am J Hum Genet. 2016 Sep 1;99(3):666-673. doi: 10.1016/j.ajhg.2016.06.021. Epub 2016 Aug 11.,27523598,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/24/2024 16:32:57,Leise,Am J Hum Genet. 2016 Sep 1;99(3):666-673. doi: 10.1016/j.ajhg.2016.06.021. Epub 2016 Aug 11.,27523598,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:32:20,EW,Am J Physiol Gastrointest Liver Physiol. 2016 Oct 1;311(4):G754-G762. doi: 10.1152/ajpgi.00218.2016. Epub 2016 Aug 25.,27562060,"Yes, study of heart failure.","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,pressure overload >> MB disturbance after heart failure is prevented with vagus nerve stimulation ,
6/24/2024 16:27:29,Leise,Am J Physiol Gastrointest Liver Physiol. 2016 Oct 1;311(4):G754-G762. doi: 10.1152/ajpgi.00218.2016. Epub 2016 Aug 25.,27562060,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:26:31,EW,Eur J Intern Med. 2016 Dec;36:67-73. doi: 10.1016/j.ejim.2016.08.017. Epub 2016 Aug 24.,27567042,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Yes, measures untargeted metabolomics","LC-MS/MS, liquid chromatography tandem mass spectrometry",,,,,,,,,,,,prospective cohort study of community acquired pnemonia ,
6/6/2024 18:42:03,YiChan Lee,Eur J Intern Med. 2016 Dec;36:67-73. doi: 10.1016/j.ejim.2016.08.017. Epub 2016 Aug 24.,27567042,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:29:07,EW,Curr Opin Gastroenterol. 2016 Nov;32(6):452-460. doi: 10.1097/MOG.0000000000000308.,27607343,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/6/2024 18:43:02,YiChan Lee,Curr Opin Gastroenterol. 2016 Nov;32(6):452-460. doi: 10.1097/MOG.0000000000000308.,27607343,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:08:04,EW,J Acquir Immune Defic Syndr. 2017 Apr 15;74(5):e129-e137. doi: 10.1097/QAI.0000000000001198.,27787339,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/6/2024 18:27:48,YiChan Lee,J Acquir Immune Defic Syndr. 2017 Apr 15;74(5):e129-e137. doi: 10.1097/QAI.0000000000001198.,27787339,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:23:59,EW,Curr Opin Nephrol Hypertens. 2017 Jan;26(1):1-8. doi: 10.1097/MNH.0000000000000293.,27798455,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/6/2024 18:41:02,YiChan Lee,Curr Opin Nephrol Hypertens. 2017 Jan;26(1):1-8. doi: 10.1097/MNH.0000000000000293.,27798455,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:04:51,EW,J Heart Lung Transplant. 2017 May;36(5):529-539. doi: 10.1016/j.healun.2016.10.004. Epub 2016 Oct 17.,27866926,"No, surgical, protocol, or intervention study or randomized control trial about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/5/2024 21:34:18,YiChan Lee,J Heart Lung Transplant. 2017 May;36(5):529-539. doi: 10.1016/j.healun.2016.10.004. Epub 2016 Oct 17.,27866926,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:58:39,EW,Crit Care. 2016 Apr 20;20(Suppl 2):94. doi: 10.1186/s13054-016-1208-6.,27885969,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,again a list of abstracts. only this one qualified. ,
6/24/2024 17:22:16,Leise,Crit Care. 2016 Apr 20;20(Suppl 2):94. doi: 10.1186/s13054-016-1208-6.,27885969,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:23:08,EW,Circulation. 2017 Mar 7;135(10):964-977. doi: 10.1161/CIRCULATIONAHA.116.024545. Epub 2016 Dec 7.,27927713,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,Yes,,,,,,,,,,,
6/6/2024 18:40:15,YiChan Lee,Circulation. 2017 Mar 7;135(10):964-977. doi: 10.1161/CIRCULATIONAHA.116.024545. Epub 2016 Dec 7.,27927713,"Yes, study of heart failure.","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:28:12,EW,Med Sci (Paris). 2016 Nov;32(11):952-960. doi: 10.1051/medsci/20163211010. Epub 2016 Dec 23.,28008835,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,article in frnech,
4/16/2024 16:22:11,EW,Eur Heart J. 2017 Mar 14;38(11):814-824. doi: 10.1093/eurheartj/ehw582.,28077467,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Yes, measures metabolomics, but confused about the type",,,,,,,,,,,,,"acute coronary syndrome that leads to MACE, not HF",
6/6/2024 18:38:25,YiChan Lee,Eur Heart J. 2017 Mar 14;38(11):814-824. doi: 10.1093/eurheartj/ehw582.,28077467,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:10:35,EW,Am J Physiol Heart Circ Physiol. 2017 Apr 1;312(4):H842-H853. doi: 10.1152/ajpheart.00455.2016. Epub 2017 Feb 3.,28159807,"Yes, study of heart failure.","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,Yes,,,,,,,,,,,
6/6/2024 18:30:36,YiChan Lee,Am J Physiol Heart Circ Physiol. 2017 Apr 1;312(4):H842-H853. doi: 10.1152/ajpheart.00455.2016. Epub 2017 Feb 3.,28159807,"Yes, study of heart failure.","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:19:39,EW,Circulation. 2017 Mar 14;135(11):1008-1010. doi: 10.1161/CIRCULATIONAHA.116.024251.,28289004,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/6/2024 18:35:05,YiChan Lee,Circulation. 2017 Mar 14;135(11):1008-1010. doi: 10.1161/CIRCULATIONAHA.116.024251.,28289004,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:09:20,EW,Curr Treat Options Cardiovasc Med. 2017 Apr;19(4):27. doi: 10.1007/s11936-017-0528-4.,28316036,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/6/2024 18:28:49,YiChan Lee,Curr Treat Options Cardiovasc Med. 2017 Apr;19(4):27. doi: 10.1007/s11936-017-0528-4.,28316036,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:18:30,EW,Circ Res. 2017 Mar 31;120(7):1183-1196. doi: 10.1161/CIRCRESAHA.117.309715.,28360349,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/6/2024 18:33:20,YiChan Lee,Circ Res. 2017 Mar 31;120(7):1183-1196. doi: 10.1161/CIRCRESAHA.117.309715.,28360349,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:06:54,EW,Nutrients. 2017 Apr 22;9(4):415. doi: 10.3390/nu9040415.,28441720,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Measures targeted metabolomics; tags the metabolites (key words: stable isotope, tag)",,,,,,,,,,,,,,
6/6/2024 18:25:26,YiChan Lee,Nutrients. 2017 Apr 22;9(4):415. doi: 10.3390/nu9040415.,28441720,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 14:43:18,EW,J Cardiovasc Echogr. 2014 Jan-Mar;24(1):29-32. doi: 10.4103/2211-4122.132284.,28465901,"No, surgical, protocol, or intervention study or randomized control trial about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/23/2024 23:15:13,Kiramat Ullah,J Cardiovasc Echogr. 2014 Jan-Mar;24(1):29-32. doi: 10.4103/2211-4122.132284,28465901,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,A case report,
4/16/2024 16:03:25,EW,Cell Metab. 2017 May 2;25(5):1075-1090.e5. doi: 10.1016/j.cmet.2017.04.013.,28467926,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/5/2024 21:33:25,YiChan Lee,Cell Metab. 2017 May 2;25(5):1075-1090.e5. doi: 10.1016/j.cmet.2017.04.013.,28467926,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 16:00:00,EW,BMC Infect Dis. 2017 Jun 23;17(1):445. doi: 10.1186/s12879-017-2547-x.,28645263,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Yes, measures metabolomics, but confused about the type",,,,,,,,,,,,,,
6/5/2024 21:31:21,YiChan Lee,BMC Infect Dis. 2017 Jun 23;17(1):445. doi: 10.1186/s12879-017-2547-x.,28645263,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Measures targeted metabolomics; tags the metabolites (key words: stable isotope, tag)",,,,,,,,,,,,,,
4/16/2024 16:02:09,EW,Front Pediatr. 2017 Jun 19;5:138. doi: 10.3389/fped.2017.00138. eCollection 2017.,28674682,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/5/2024 21:32:09,YiChan Lee,Front Pediatr. 2017 Jun 19;5:138. doi: 10.3389/fped.2017.00138. eCollection 2017.,28674682,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 15:52:30,EW,J Card Fail. 2017 Sep;23(9):666-671. doi: 10.1016/j.cardfail.2017.06.007. Epub 2017 Jul 5.,28688889,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)","HF for >6 months, stabilized on state-of-art treatment for ≥3 months, New York Heart Association (NYHA) functional class II–IV.  ",Norway,"Yes, measures untargeted metabolomics","LC-MS/MS, liquid chromatography tandem mass spectrometry",Plasma,No,,No,none,1 = truly representative of the average patient in the community (any heart failure patient),0 = no description of the derivation of the non-exposed cohort,1 = biological test (eg EKG),1 = Prospectively,"1 = study accounts/controls for other comorbidities (Diabetes,  age, smoking, etc.)",1 = objective measure (biological specimen used for metabolomics),,HF = 142
6/5/2024 21:26:13,YiChan Lee,J Card Fail. 2017 Sep;23(9):666-671. doi: 10.1016/j.cardfail.2017.06.007. Epub 2017 Jul 5.,28688889,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"Yes, measures metabolomics, but confused about the type",,,,,,,,,,,,,Only detect bile acids,
4/16/2024 15:56:20,EW,Annu Rev Nutr. 2017 Aug 21;37:157-181. doi: 10.1146/annurev-nutr-071816-064732. Epub 2017 Jul 17.,28715991,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/5/2024 21:27:07,YiChan Lee,Annu Rev Nutr. 2017 Aug 21;37:157-181. doi: 10.1146/annurev-nutr-071816-064732. Epub 2017 Jul 17.,28715991,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 15:38:50,EW,Life Sci. 2017 Sep 15;185:23-29. doi: 10.1016/j.lfs.2017.07.027. Epub 2017 Jul 25.,28754616,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/5/2024 20:53:49,YiChan Lee,Life Sci. 2017 Sep 15;185:23-29. doi: 10.1016/j.lfs.2017.07.027. Epub 2017 Jul 25.,28754616,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 15:58:03,EW,Circ Res. 2017 Aug 4;121(4):451-468. doi: 10.1161/CIRCRESAHA.117.311170.,28775014,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/5/2024 21:28:56,YiChan Lee,Circ Res. 2017 Aug 4;121(4):451-468. doi: 10.1161/CIRCRESAHA.117.311170.,28775014,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 15:40:47,EW,Curr Cardiol Rep. 2017 Sep;19(9):84. doi: 10.1007/s11886-017-0896-0.,28779286,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/5/2024 21:12:03,YiChan Lee,Curr Cardiol Rep. 2017 Sep;19(9):84. doi: 10.1007/s11886-017-0896-0.,28779286,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 15:14:46,EW,Eur J Pharmacol. 2017 Nov 5;814:28-44. doi: 10.1016/j.ejphar.2017.08.002. Epub 2017 Aug 5.,28789934,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/5/2024 20:37:27,YiChan Lee,Eur J Pharmacol. 2017 Nov 5;814:28-44. doi: 10.1016/j.ejphar.2017.08.002. Epub 2017 Aug 5.,28789934,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 15:34:54,EW,Exp Mol Pathol. 2017 Oct;103(2):141-152. doi: 10.1016/j.yexmp.2017.08.003. Epub 2017 Aug 16.,28822770,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/5/2024 20:48:44,YiChan Lee,Exp Mol Pathol. 2017 Oct;103(2):141-152. doi: 10.1016/j.yexmp.2017.08.003. Epub 2017 Aug 16.,28822770,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:59:12,EW,Nat Rev Cardiol. 2018 Jan;15(1):20-32. doi: 10.1038/nrcardio.2017.120. Epub 2017 Aug 24.,28836619,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/27/2024 12:04:03,Jack,Nat Rev Cardiol. 2018 Jan;15(1):20-32. doi: 10.1038/nrcardio.2017.120. Epub 2017 Aug 24.,28836619,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:15:21,EW,Heart Fail Rev. 2018 May;23(3):481-497. doi: 10.1007/s10741-017-9647-y.,28849410,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/27/2024 9:19:43,Jack,Heart Fail Rev. 2018 May;23(3):481-497. doi: 10.1007/s10741-017-9647-y.,28849410,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 15:38:11,EW,J Clin Med. 2017 Sep 19;6(9):86. doi: 10.3390/jcm6090086.,28925931,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Yes, measures untargeted metabolomics","LC-MS, liquid chromatography mass spectrometry",,,,,,,,,,,,t2d and ckd,
6/5/2024 20:52:52,YiChan Lee,J Clin Med. 2017 Sep 19;6(9):86. doi: 10.3390/jcm6090086.,28925931,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 15:36:09,EW,Ann Clin Microbiol Antimicrob. 2017 Sep 19;16(1):63. doi: 10.1186/s12941-017-0238-5.,28927452,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/5/2024 20:50:50,YiChan Lee,Ann Clin Microbiol Antimicrob. 2017 Sep 19;16(1):63. doi: 10.1186/s12941-017-0238-5.,28927452,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 15:40:13,EW,Korean Circ J. 2017 Sep;47(5):663-669. doi: 10.4070/kcj.2017.0028. Epub 2017 Aug 23.,28955383,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/5/2024 21:10:54,YiChan Lee,Korean Circ J. 2017 Sep;47(5):663-669. doi: 10.4070/kcj.2017.0028. Epub 2017 Aug 23.,28955383,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 15:27:08,EW,Nat Commun. 2017 Oct 10;8(1):845. doi: 10.1038/s41467-017-00900-1.,29018189,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,Yes,,,,,,,,,,"atherosclerotic cardiovascular disease , not hf",
6/5/2024 20:44:51,YiChan Lee,Nat Commun. 2017 Oct 10;8(1):845. doi: 10.1038/s41467-017-00900-1.,29018189,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/5/2024 20:38:48,YiChan Lee,Eur Heart J. 2017 Oct 14;38(39):2948-2956. doi: 10.1093/eurheartj/ehx342.,29020409,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/5/2024 20:41:22,YiChan Lee,BMC Pharmacol Toxicol. 2017 Oct 10;18(Suppl 1):64. doi: 10.1186/s40360-017-0170-5.,29035170,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 15:12:30,EW,Curr Heart Fail Rep. 2017 Dec;14(6):519-528. doi: 10.1007/s11897-017-0370-8.,29075956,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/5/2024 20:36:40,YiChan Lee,Curr Heart Fail Rep. 2017 Dec;14(6):519-528. doi: 10.1007/s11897-017-0370-8.,29075956,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:43:29,EW,J Basic Microbiol. 2018 Jan;58(1):52-59. doi: 10.1002/jobm.201700428. Epub 2017 Nov 7.,29110324,"No, surgical, protocol, or intervention study or randomized control trial about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/27/2024 11:59:47,Jack,J Basic Microbiol. 2018 Jan;58(1):52-59. doi: 10.1002/jobm.201700428. Epub 2017 Nov 7.,29110324,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 15:28:24,EW,Vnitr Lek. 2017 Fall;63(10):729-736.,29127758,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/5/2024 20:46:34,YiChan Lee,Vnitr Lek. 2017 Fall;63(10):729-736.,29127758,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:24:05,EW,Pharmacol Res. 2018 Mar;129:308-317. doi: 10.1016/j.phrs.2017.11.008. Epub 2017 Nov 10.,29133215,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/27/2024 9:35:53,Jack,Pharmacol Res. 2018 Mar;129:308-317. doi: 10.1016/j.phrs.2017.11.008. Epub 2017 Nov 10.,29133215,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 14:24:57,EW,Acta Diabetol. 2018 Feb;55(2):121-129. doi: 10.1007/s00592-017-1074-y. Epub 2017 Nov 13.,29134286,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"Yes, measures untargeted metabolomics",,,,,,,,,,,,,,
6/27/2024 9:37:12,Jack,Acta Diabetol. 2018 Feb;55(2):121-129. doi: 10.1007/s00592-017-1074-y. Epub 2017 Nov 13.,29134286,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/23/2024 10:08:50,EW,10.1016/j.hfc.2017.08.011,29153196,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/16/2024 15:11:38,EW,Microbiome. 2017 Dec 11;5(1):158. doi: 10.1186/s40168-017-0377-0.,29228972,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,Yes,,,,,,,,,,,
6/5/2024 20:34:40,YiChan Lee,Microbiome. 2017 Dec 11;5(1):158. doi: 10.1186/s40168-017-0377-0.,29228972,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/7/2024 9:00:28,Kiramat Ullah,J Heart Lung Transplant. 2023 Jun;42(6):716-729. doi: 10.1016/j.healun.2023.01.018. Epub 2023 Feb 10.,29240911,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/16/2024 13:50:12,EW,J Vasc Surg. 2018 Nov;68(5):1552-1562.e7. doi: 10.1016/j.jvs.2017.09.029. Epub 2017 Dec 13.,29248242,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Yes, measures untargeted metabolomics",high-performance liquid chromatography and tandem mass spectrometry,Plasma,,,,,,,,,,,,
6/27/2024 17:19:30,Jack,J Vasc Surg. 2018 Nov;68(5):1552-1562.e7. doi: 10.1016/j.jvs.2017.09.029. Epub 2017 Dec 13.,29248242,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)", did not specify,US,"Yes, measures untargeted metabolomics","HP LC-MS/MS, high-performance liquid chromatography tandem mass spectrometry",Plasma,No,,No,No statement,1 = somewhat representative of the average patient in the community (eg only heart failure subtype or specific comorbidities),"0 = drawn from a different source (eg, nonhospitalized controls)",0 = no description of how heart failure is IDed,1 = Prospectively,"1 = study accounts/controls for other comorbidities (Diabetes,  age, smoking, etc.)",1 = objective measure (biological specimen used for metabolomics),,Control n = 22; CHF n = 13
4/16/2024 14:22:09,EW,J Glob Antimicrob Resist. 2018 Mar;12:61-62. doi: 10.1016/j.jgar.2017.12.002. Epub 2017 Dec 14.,29248601,"No, surgical, protocol, or intervention study or randomized control trial about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
